Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_13_000.jpg,-3.008991,0.4990947,0,0.02696051,99.67326,85.59214,0.09582771,45.98708,-0.002995973
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_13_066.jpg,-0.02224445,0.6982112,0,0.04283873,99.6766,85.59556,0.1899499,45.9741,-0.003232565
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_13_132.jpg,0,0.8960216,0,0.08458172,99.68486,85.60413,0.4169207,46.15501,-0.003450657
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_13_198.jpg,0,1,0,0.1549122,99.69437,85.61391,0.64153,45.97292,0.0004803178
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_13_266.jpg,0,1,0,0.2086567,99.70608,85.62595,0.8869167,45.887,0.0001625299
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_13_333.jpg,0,1,0,0.2690679,99.72554,85.64599,1.240693,45.97031,-0.001103201
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_13_401.jpg,0,1,0,0.3224504,99.74024,85.66079,1.318224,45.95228,-0.003293503
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_13_466.jpg,0,1,0,0.3841611,99.75404,85.67471,1.15773,45.98768,-0.0009851357
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_13_533.jpg,0,1,0,0.4551125,99.7785,85.69984,1.085942,45.95198,0.001427312
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_13_599.jpg,0,1,0,0.4882247,99.79998,85.72191,1.101713,45.94797,1.336937E-05
